"Depth Top","Casing Code","Location ID","Shift ID","Depth Base","Diameter","Remarks"
"0.00","","SB-12","","2.50","4.00","Hand Auger"
"0.00","","SB-28","","2.50","4.00","Hand Auger"
"0.00","","SB-31","","2.50","4.00","Hand Auger"
"2.50","","SB-25","","50.00","6.00","6"" Casing"
"2.50","","SB-29","","11.50","6.00","6"" Casing"
"2.50","","SB-42","","50.00","6.00","6"" Casing"
"2.50","","SB-10","","126.40","6.00","6"" Casing"
"2.50","","SB-7","","61.50","6.00","6"" Casing"
"2.50","","SB-17","","90.50","6.00","6"" Casing"
"2.50","","SB-2","","42.00","6.00","6"" Casing"
"0.00","","SB-3","","2.50","4.00","Hand Auger"
"0.00","","SB-29","","2.50","4.00","Hand Auger"
"0.00","","SB-4","","1.30","4.00","Hand Auger"
"0.00","","SB-46","","2.50","4.00","Hand Auger"
"0.00","","SB-1","","2.50","4.00","Hand Auger"
"0.00","","SB-6A","","2.50","4.00","Hand Auger"
"0.00","","SB-9","","2.50","4.00","Hand Auger"
"2.50","","SB-28","","11.50","6.00","6"" Casing"
"2.50","","SB-20","","15.30","6.00","6"" Casing"
"2.50","","SB-46","","51.30","6.00","6"" Casing"
"2.50","","SB-9","","80.00","6.00","6"" Casing"
"2.50","","SB-39","","51.10","6.00","6"" Casing"
"2.50","","SB-15","","30.40","6.00","6"" Casing"
"2.50","","SB-8","","40.80","6.00","6"" Casing"
"2.50","","SB-12","","80.20","6.00","6"" Casing"
"","","SB-19","","","",""
"2.50","","SB-35","","36.50","6.00","6"" Casing"
"0.00","","SB-2","","2.50","4.00","Hand Auger"
"0.00","","SB-14","","26.50","6.00","6"" Casing"
"0.00","","SB-13","","2.50","4.00","Hand Auger"
"2.50","","SB-32","","85.10","6.00","6"" Casing"
"0.00","","SB-40","","2.50","4.00","Hand Auger"
"0.00","","SB-16","","2.50","4.00","Hand Auger"
"0.00","","SB-32","","2.50","4.00","Hand Auger"
"0.00","","SB-21","","1.00","4.00","Hand Auger"
"0.00","","SB-44","","2.50","4.00","Hand Auger"
"2.50","","SB-26","","70.00","6.00","6"" Casing"
"0.00","","SB-34","","2.50","4.00","Hand Auger"
"0.00","","SB-42","","2.50","4.00","Hand Auger"
"2.50","","SB-33","","65.00","6.00","6"" Casing"
"0.00","","SB-33","","2.50","4.00","Hand Auger"
"0.00","","SB-8","","2.50","4.00","Hand Auger"
"0.00","","SB-5","","2.50","4.00","Hand Auger "
"0.00","","SB-43","","2.50","4.00","Hand Auger"
"0.00","","SB-20","","2.50","4.00","Hand Auger"
"0.00","","SB-36","","2.50","4.00","Hand Auger"
"0.00","","SB-10","","2.50","4.00","Hand Aguer "
"2.50","","SB-19","","90.30","6.00","6"" Casing"
"2.50","","SB-37","","60.00","6.00","6"" Casing"
"2.50","","SB-45","","50.00","6.00","6"" Casing"
"2.50","","SB-24","","60.10","6.00","6"" Casing"
"2.50","","SB-38","","60.30","6.00","6"" Casing"
"1.00","","SB-21","","45.25","6.00","6"" Casing"
"0.00","","SB-17","","2.50","4.00","Hand Auger"
"2.50","","SB-41","","40.00","6.00","6"" Casing"
"2.50","","SB-11","","81.50","6.00","6"" Casing "
"2.50","","SB-34","","51.50","6.00","6"" Casing"
"2.50","","SB-40","","50.20","6.00","6"" Casing"
"0.00","","SB-35","","2.50","4.00","Hand Auger"
"2.50","","SB-22","","25.00","6.00","6"" Casing"
"0.00","","SB-39","","2.50","4.00","Hand Auger"
"2.50","","SB-43","","25.80","6.00","6"" Casing"
"0.00","","SB-26","","2.50","4.00","Hand Auger"
"0.00","","SB-7","","2.50","4.00","Hand auger "
"0.00","","SB-37","","2.50","4.00","Hand Auger"
"","","SB-23","","","",""
"0.00","","SB-23","","50.60","6.00","6"" Casing"
"0.00","","SB-38","","2.50","4.00","Hand Auger"
"2.50","","SB-1","","45.40","6.00","6"" Casing"
"0.00","","SB-15","","2.50","4.00","Hand Auger"
"0.00","","SB-24","","2.50","4.00","Hand Auger"
"0.00","","SB-18","","2.50","4.00","Hand Auger"
"0.00","","SB-25","","2.50","4.00","Hand Auger"
"2.50","","SB-36","","80.00","6.00","6"" Casing"
"2.50","","SB-44","","51.50","6.00","6"" Casing"
"0.00","","SB-45","","2.50","4.00","Hand Auger"
"2.50","","SB-3","","60.10","6.00","6"" Casing"
"2.50","","SB-16","","26.50","6.00","6"" Casing"
"0.00","","SB-13","","30.90","6.00","6"" Casing"
"0.00","","SB-11","","2.50","4.00","Hand Auger"
"1.30","","SB-4","","75.00","6.00","6"" Casing"
"2.50","","SB-31","","67.00","6.00","6"" Casing"
"2.50","","SB-6A","","80.10","6.00","6"" Casing"
"2.50","","SB-5","","60.42","6.00","6"" Casing "
"0.00","","SB-41","","2.50","4.00","Hand Auger"
"0.00","","SB-22","","2.50","4.00","Hand Auger"
"0.00","","SB-19","","2.50","4.00","Hand Auger"
"2.50","","SB-18","","110.00","6.00","6"" Casing"
