"Excavation Method","Method - Picklist","Location ID","Shift ID","Depth Top","Depth Base","Type","Date Time Start","Date Time End","Driller Name","Equipment","Shoring Used","Pit Stability","Pit Length","Pit Width","Drill Bit Used","Bit Condition","Barrel Type","Barrel Length","Logger","Date Logged","Remarks","Weather","Method","Drilling Contractor","Mounting"
"","","SB-41","","","","","","","","","","","","","","","","","M. Sharif","","","","","",""
"","","SB-19","","","","","","","","","","","","","","","","","","","","","","",""
"","","SB-11","","2.50","81.50","Borehole","2025-10-09T08:18:00","2025-10-09T15:38:00","J. Pattison ","Fraste MidRoto Sonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Sonic","Gregg Drilling ",""
"","","SB-24","","0.00","2.50","Borehole","2025-12-04T10:00:00","2025-12-08T11:15:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Fahd","","","","Hand Auger","Gregg Drilling",""
"","","SB-45","","0.00","2.50","Borehole","2025-11-12T12:35:00","2025-11-13T09:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-38","","0.00","2.50","Borehole","2025-11-03T14:30:00","2025-11-04T13:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","N. Brown","","","","Hand Auger","Gregg Drillling",""
"","","SB-7","","2.50","61.50","Borehole","2025-10-10T07:45:00","2025-10-10T13:30:00","J. Pattison ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Sonic","Gregg Drilling ",""
"","","SB-41","","2.50","40.00","Borehole","2025-11-11T14:30:00","2025-11-11T16:15:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-10","","0.00","2.50","Borehole","2025-10-13T09:40:00","2025-10-15T07:58:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","A. Mayer + P. Dahal","","","","Hand Auger ","Gregg Drilling",""
"","","SB-32","","2.50","85.10","Borehole","2025-11-04T14:50:00","2025-11-05T14:15:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish","","","","Sonic ","Gregg Drilling",""
"","","SB-25","","2.50","50.00","Borehole","2025-12-03T08:30:00","2025-12-03T17:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Fahd","","","","Sonic","Gregg Drilling",""
"","","SB-26","","0.00","2.50","Borehole","2025-12-10T08:00:00","2026-12-10T16:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Fahd","","","","Hand Auger","Gregg Drilling",""
"","","SB-23","","0.00","50.60","Borehole","2025-12-11T10:00:00","2025-12-11T15:45:00","S. Figueroa ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","S. Fahd","","","","Sonic","Gregg Drilling",""
"","","SB-37","","0.00","2.50","Borehole","2025-11-19T08:00:00","2025-11-20T08:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-43","","0.00","2.50","Borehole","2025-10-29T09:30:00","2025-10-29T15:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-35","","0.00","2.50","Borehole","2025-11-07T08:30:00","2025-11-07T12:35:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-5","","0.00","60.42","Borehole","2025-10-06T12:50:00","2025-10-06T14:15:00","J. Pattison","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Sonic ","Gregg Drilling",""
"","","SB-34","","0.00","2.50","Borehole","2025-11-06T10:15:00","2025-11-06T15:39:00","S. Figueroa ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish","","","","Hand Auger","Gregg Drilling",""
"","","SB-31","","0.00","2.50","Borehole","2025-11-24T08:00:00","2025-11-26T09:40:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish","","","","Hand Auger","Gregg Drilling",""
"","","SB-7","","0.00","2.50","Borehole","2025-10-10T07:45:00","2025-10-10T13:30:00","J. Pattison ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","P. Dahal","","","","Hand Auger","Gregg Drilling ",""
"","","SB-15","","2.50","30.40","Borehole","2025-10-21T15:00:00","2025-10-21T16:40:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-2","","2.50","42.00","Borehole","2025-10-28T09:30:00","2025-10-28T12:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-46","","0.00","2.50","Borehole","2025-11-13T12:30:00","2025-11-14T11:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-28","","2.50","11.50","Borehole","2025-12-18T14:30:00","2025-12-18T15:15:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish","","","","Sonic","Gregg Drilling",""
"","","SB-10","","2.50","126.40","Borehole","2025-10-13T09:40:00","2025-10-15T07:58:00","S. Figueroa ","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","A. Mayer + P. Dahal","","","","Sonic","Gregg Drilling",""
"","","SB-12","","0.00","2.50","Borehole","2025-10-17T08:20:00","2025-10-20T13:10:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","A. Mayer","","","","Hand Auger","Gregg Drilling",""
"","","SB-4","","0.00","75.00","Borehole","2025-10-22T08:00:00","2025-10-23T10:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-45","","2.50","50.00","Borehole","2025-11-12T12:35:00","2025-11-13T09:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-17","","2.50","90.50","Borehole","2025-12-17T14:30:00","2025-12-18T17:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish ","","","","Sonic","Gregg Drilling",""
"","","SB-32","","0.00","2.50","Borehole","2025-11-04T14:50:00","2025-11-05T14:15:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","D. Pranish ","","","","Hand Auger","Gregg Drilling",""
"","","SB-36","","2.50","80.00","Borehole","2025-10-31T09:00:00","2025-11-03T09:50:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-15","","0.00","2.50","Borehole","2025-10-21T15:00:00","2025-10-21T16:40:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Hand Auger","Gregg Drilling",""
"","","SB-42","","2.50","50.00","Borehole","2025-11-10T09:50:00","2025-11-10T15:30:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","M. Sharif","","","","Sonic","Gregg Drilling",""
"","","SB-38","","2.50","60.30","Borehole","2025-11-03T14:30:00","2025-11-04T13:00:00","S. Figueroa","Fraste MidRotoSonic (MRS) XL MAX","","","","","","","","","N. Brown","","","","Sonic","Gregg Drilling",""
