"Location ID","Shift ID","Depth Top","Depth Base","Remarks"
"SB-1","","3.25","","Liquid Limit (LL) = 26 Plasticity Index (PI) = 5"
"SB-1","","1.25","","pH = 4.94 pH (0 ft to 2.5 ft) Gravel = 16.1 %, Sand = 43.8 %, Fines = 40.1 %"
"SB-1","","20.75","","pH = 6.06 (20 ft to 21.5 ft)"
"SB-1","","0.00","","@ 0.0' NATIVE CONTACT "
"SB-1","","10.00","","Initial drive in SS-4 was 50/5"""
"SB-1","","15.00","","Sample interval from 15 ft to 16.5 ft was omitted because of consistent hard material"
"SB-1","","45.00","","Initial drive in SS-7 was 50/5"""
"SB-1","","8.25","","Initial drive in SS-3 was 50/2"" pH = 5.89 (7.5 ft to 9 ft)"
"SB-1","","5.75","","pH = 4.32 (5 ft to 6.5 ft)"
"SB-33","","8.25","","pH = 3.6 (7.5 ft to 9 ft), WC = 25.1 %"
"SB-33","","20.00","","Initial drive in SS-6 was 50/0"""
"SB-33","","5.75","","pH = 3.8 (5 ft to 6.5 ft)"
"SB-33","","50.20","","Initial drive in SS-9 was 50/5"""
"SB-33","","15.15","","Initial drive in SS-5 was 50/4"""
"SB-33","","30.15","","Initial drive in SS-7 was 50/4"""
"SB-33","","20.75","","pH = 5.6 (20 ft to 21.5 ft)"
"SB-33","","0.00","","@ 0.0' NATIVE CONTACT "
"SB-33","","15.75","","pH = 5.0 (15 ft to 16.5 ft)"
"SB-33","","40.00","","Initial drive in SS-8 was 50/1"""
"SB-33","","3.25","","pH = 4.7 (2.5 ft to 4 ft),  Water Content (WC) = 14.6 %, Gravel = 41.1 %, Sand = 31.9 %, Fines = 27.0 %"
"SB-33","","60.00","","Initial drive in SS-10 was 50/0"""
"SB-33","","65.00","","Initial drive in SS-11 was 50/0"""
"SB-9","","30.75","","PP = 4.0 tsf, pH = 6 (30 ft to 31.5 ft) WC = 20.4 %"
"SB-9","","5.75","","PP = 1.5 tsf, LL = 38, PI = 18, pH = 3.5 (5 ft to 6.5 ft), Su = 3070 pcf, DD = 101 pcf, WC = 20 %, UC, fines = 58.61 %"
"SB-9","","3.25","","pH = 5.0 (2.5 ft to 4 ft)"
"SB-9","","7.50","","@ 7.5' NATIVE CONTACT"
"SB-9","","40.75","","pH = 5.0 (40 ft to 41.5 ft) WC = 20.2 %, Su = 277 psf, DD = 107 pcf, UC"
"SB-9","","70.75","","pH = 6.0 (70 ft to 71.5 ft)"
"SB-9","","50.75","","PP = 4.0 tsf, pH = 6.5 (50 ft to 51.5 ft)"
"SB-9","","20.75","","LL = 29, PI = 9, pH = 5.0 (20 ft to 21.5 ft) WC= 16.4 %, fines = 18.39 %"
"SB-9","","60.75","","pH = 5.0 (60 ft to 61.5 ft)"
"SB-9","","10.75","","PP = 2.0 tsf, pH = 5.5 (10 ft to 11.5 ft), C = 595 psf, phi = 28 degrees, DD = 96 pcf, WC = 19.6%, DS"
"SB-9","","8.25","","PP = 1.5 tsf, pH = 6.0 (7.5 ft to 9 ft)"
"SB-9","","35.75","","PP = 1.5 tsf, pH = 6.0 (35 ft to 36.5 ft)"
"SB-9","","21.00","","250 psi applied to shelby tube, PP = 0.5 tsf"
"SB-9","","45.75","","pH = 5.5 (45 ft to 46.5 ft)"
"SB-9","","25.75","","PP = 1.0 tsf, pH = 6.0 (25 ft to 26.5 ft), C = 360 psf, phi = 23 degrees, DD = 85 pcf, WC = 27.2%, DS"
"SB-9","","67.00","","68'-70' sample is wet, perched groundwater (GW)"
"SB-9","","55.00","","Gregg's Drilling forgot to sample at 55'"
"SB-9","","80.75","","Initial drive in SS-15 was 50/0"", pH = 6.0 (80 ft to 81.5 ft)"
"SB-9","","15.75","","PP = 1.0 tsf, pH = 5.0 (15 ft to 16.5 ft)"
"SB-11","","26.00","","800 PSI applied to shelby tube, PP = 1.5 TSF"
"SB-11","","40.75","","PP = 1.5 tsf, WC = 18.1 %"
"SB-11","","80.75","","PP = 4.5 tsf, WC = 10.8%, DD = 119 pcf, Cc = 0.1, Cr = 0.02, CO"
"SB-11","","20.75","","PP = 0.5 TSF"
"SB-11","","50.75","","PP = 3.5 tsf"
"SB-11","","25.00","","@ 25.0' NATIVE CONTACT "
"SB-11","","45.75","","PP = 2.5 tsf, WC = 14 %"
"SB-11","","35.75","","PP = 1.5 tsf"
"SB-11","","60.75","","PP = 4.5 tsf, WC = 22 % "
"SB-11","","30.75","","PP = 3.0 tsf"
"SB-11","","75.75","","PP = 4.5 tsf"
"SB-11","","25.75","","LL = 44, PI = 16"
"SB-11","","8.25","","LL = 41, PI = 10, Cc=0.19, Cr=0.04, Gravel = 1.2 %, Sand = 55.3 %, Fines = 43.5 %, CO"
"SB-11","","16.00","","400 PSI applied to shelby tube, PP = 1.0 tsf"
"SB-11","","10.75","","PP = 1.0 tsf"
"SB-11","","8.50","","PP = 1.5 tsf"
"SB-11","","70.75","","PP = 4.5 tsf"
"SB-11","","15.75","","LL = 42, PI = 16, phi= 35 deg, WC=25.7%, Fines = 43.64 %, DS"
"SB-11","","65.75","","PP = 4.5 tsf"
"SB-11","","55.75","","PP = 4.0 tsf"
"SB-11","","5.75","","PP = 1.0 tsf"
"SB-11","","3.25","","PP = 3.0 tsf, WC = 15.7 %"
"SB-34","","8.25","","PP = 2.0 tsf pH = 3.45 (7.5 ft to 10 ft)"
"SB-34","","25.75","","PP = 4.5 tsf pH = 3.37 (25 ft to 30 ft)"
"SB-34","","43.00","","BEDROCK @ 43'"
"SB-34","","3.25","","PP = 3.5 tsf pH = 3.57 (2.5 ft to 5 ft)"
"SB-34","","35.75","","pH = 3.96 pH (35 ft to 40 ft), Gravel = 28.4 %, Sand = 54.7 %, Fines = 16.9 %, WC = 38.6 %"
"SB-34","","5.75","","PP = 4.5 tsf pH = 3.55 (5 ft to 7.5 ft), Liquid Limit (LL) = 37, Plasticity Index (PI) = 14, Fines = 49.8 %, DS"
"SB-34","","15.75","","PP = 4.0 tsf pH = 4.12 (15 ft to 20 ft)"
"SB-34","","30.75","","pH = 3.67 pH (30 ft to 35 ft)"
"SB-34","","45.00","","Initial drive in SS-11 was 50/0"""
"SB-34","","10.75","","PP = 3.5 tsf pH = 3.65 (10 ft to 15 ft), Fines = 37.5 %, DS"
"SB-34","","50.00","","Initial drive in SS-12 was 50/0"""
"SB-34","","20.75","","pH = 5.21 (20 ft to 25 ft), LL = 44, PI = 12, Fines = 15.81 %"
"SB-34","","0.00","","@ 0.0' NATIVE CONTACT, pH = 3.46 (0 ft to 2.5 ft)"
"SB-5","","30.75","","PP = 4.50 tsf"
"SB-5","","3.25","","PP = 2.00 tsf, Gravel = 35.8 %, Sand = 42.7 %, Fines = 21.5 %"
"SB-5","","40.00","","Initial drive in SS-10 was 50/5"""
"SB-5","","55.75","","PP = 4.5 tsf"
"SB-5","","10.75","","WC = 21.7%, Gravel = 52.1 %, Sand = 34.3 %, Fines = 13.5 %"
"SB-5","","50.75","","PP = 4.5 tsf, WC = 6.4 %, Gravel = 10 %, Sand = 30 %, Fines = 65 %"
"SB-5","","8.25","","PP = 2.5 tsf"
"SB-5","","25.75","","PP = 4.50 tsf"
"SB-5","","60.75","","Initial drive in SS-14 was 50/5"""
"SB-5","","35.00","","Initial drive in SS-9 was 50/6"""
"SB-5","","10.00","","@ 10.0' NATIVE CONTACT"
"SB-5","","45.00","","Initial drive in SS-11 was 50/6"""
"SB-5","","5.75","","PP = 2.0 tsf, WC = 5.3% LL = 42, PI = 4"
"SB-5","","20.75","","PP = 4.50 tsf, LL = 33, PI = 11"
"SB-5","","15.75","","PP = 4.50 tsf, WC= 15.4 %"
"SB-28","","2.50","","@ 2.5' NATIVE CONTACT, WC = 24.4 %"
"SB-28","","8.25","","PP = 1.5 tsf"
"SB-26","","10.75","","WC = 19.5 %, Fines = 62.7 %"
"SB-26","","50.15","","Initial drive in SS-11 was 50/4"""
"SB-26","","55.00","","Initial drive in SS-12 was 50/0"""
"SB-26","","0.00","","@ 0.0' NATIVE CONTACT "
"SB-26","","70.00","","Initial drive in SS-14 was 50/0"""
"SB-26","","15.75","","pH = 7.92 (15 ft to 16.5 ft) WC = 1.2 %, Gravel = 57.1 %, Sand = 33.5 %, Fines = 9.4 %"
"SB-26","","3.25","","pH = 5.13 (2.5 ft to 4 ft), WC = 14%, Fines = 36.5 %"
"SB-26","","30.00","","Initial drive in SS-7 was 50/3"""
"SB-26","","60.15","","Initial drive in SS-13 was 50/3"""
"SB-26","","20.20","","Initial drive in SS-6 was 50/5"""
"SB-41","","3.25","","PP = 3.0 tsf, pH = 2.26 (2.5 ft to 4 ft), Water Content (WC) = 22.4 %, Fines = 63.43 %"
"SB-41","","5.75","","Initial drive in MC-2 was 50/4"""
"SB-41","","30.75","","pH = 4.40 (30 ft to 31.5 ft)"
"SB-41","","35.75","","Initial drive in SS-9 was 50/0"""
"SB-41","","25.75","","PP = 0.5 tsf, pH = 3.13 (25 ft to 26.5 ft)"
"SB-41","","8.25","","PP = 1.0 tsf, pH = 2.28 (7.5 ft to 9 ft)"
"SB-41","","15.75","","pH = 3.16 (15 ft to 16.5 ft), WC = 30.1 %, Gravel = 41.0 %, Sand = 23.6 %, Fines = 35.4 %"
"SB-41","","15.50","","@ 15.5' NATIVE CONTACT"
"SB-13","","5.75","","PP = 2.5 tsf, Fines = 45.56 %"
"SB-13","","15.75","","PP = 4.5 tsf, C = 285 psf, phi = 27 deg, DS"
"SB-13","","10.75","","PP = 1.0 tsf"
"SB-13","","10.80","","PP = 1.5 tsf"
