"Non Component Description","Color Code","Type","Location ID","Shift ID","Depth Top","Depth Base","Description","Legend Code","Geology Code","Geology Code 2","Stratum Reference","Remarks","Soil Name","USCS","AASHTO","Consistency Min","Consistency Max","Density Min","Density Max","Color","Moisture","Plasticity","Soil Particle Size","Soil Particle Angularity","Additional Description","Geological formation","Rock Name Qualifier","Rock Name","Rock Grain Size","Bedding Min","Bedding Max","Weathering","Rock Hardness Min","Rock Hardness Conjunction","Rock Hardness Max","Fracture Spacing Min","Fracture Spacing Max","Boundary"
"","","Soil","SB-39","","7.50","10.00","trace small GRAVEL, light brownish gray (10 YR 6/2), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-13","","0.00","5.00","SANDY Lean CLAY (CL) stiff, dry, brown (10 YR 5/1), GRAVEL, WASTE","CL","","","","","","CL","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-36","","30.00","35.00","CLAYEY GRAVEL with SAND (GC), very dense, gravel color: very dark gray (GLEY 4/N), sand color: brown (10 YR 5/3), saturated, WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Solid"
"","","Soil","SB-31","","67.00","","Terminated @ 67.0 ft bgs because of SPT and coring refusal. GW encountered @ 40.20 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-17","","80.00","90.00","soft, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","","SB-13","","30.90","","Terminated @ 30.9 ft bgs because of SPT and coring refusal. GW not encountered. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","SB-6A","","80.10","80.10","Terminated @ 80.1 ft bgs because of SPT and coring refusal. Perched water table @ 19 ft bgs. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Rock","SB-4","","70.00","75.00","SEDIMENTARY ROCK (SHALE), black (10 YR 2/1), dry, fine platy structure, fissble/friable, BEDROCK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-39","","5.00","7.50","light gray (10 YR 7/2), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
"","","Soil","SB-15","","5.00","7.50","dark grayish brown (10 YR 4/2), WASTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None"
