"Location ID","Shift ID","Depth Base","Diameter","Remarks","Drill Bit Size Code"
"SB-21","","","","",""
"SB-43","","26.50","6.00","6"" Casing",""
"SB-36","","80.00","6.00","6"" Casing",""
"SB-1","","45.40","6.00","6"" Casing",""
"SB-38","","60.30","6.00","6"" Casing",""
"SB-23","","50.60","6.00","6"" Casing",""
"SB-8","","41.50","6.00","6"" Casing",""
"SB-44","","51.50","6.00","6"" Casing",""
"SB-17","","46.50","6.00","6"" Casing",""
"SB-10","","126.40","6.00","6"" Casing",""
"SB-18","","111.50","6.00","6"" Casing",""
"SB-39","","51.10","6.00","6"" Casing",""
"SB-6A","","80.10","6.00","6"" Casing",""
"SB-22","","25.00","6.00","6"" Casing",""
"SB-9","","80.00","6.00","",""
"SB-21","","45.00","6.00","6"" Casing",""
"SB-14","","","","",""
"SB-16","","26.50","6.00","6"" Casing",""
"SB-5","","60.42","6.00","6"" Casing",""
"SB-25","","50.00","6.00","6"" Casing",""
"SB-24","","60.10","6.00","6"" Casing",""
"SB-13","","30.90","6.00","6"" Casing",""
"SB-12","","80.20","6.00","6"" Casing",""
"SB-26","","71.50","6.00","6"" Casing",""
"SB-15","","31.50","6.00","6"" Casing",""
"SB-33","","65.00","6.00","6"" Casing",""
"SB-11","","81.50","6.00","6"" Casing",""
"SB-7","","61.50","6.00","6"" Casing",""
"SB-31","","67.00","6.00","6"" Casing",""
"SB-45","","50.00","6.00","6"" Casing",""
"SB-34","","51.50","6.00","6"" Casing",""
"SB-14","","26.50","6.00","6"" Casing",""
"SB-32","","86.50","6.00","6"" Casing",""
"SB-2","","42.00","6.00","6"" Casing",""
"SB-37","","60.00","6.00","6"" Casing",""
"SB-35","","36.50","6.00","6"" Casing",""
"SB-28","","11.50","6.00","6"" Casing",""
"SB-41","","26.50","6.00","6"" Casing",""
"SB-3","","60.10","6.00","6"" Casing",""
"SB-4","","75.00","6.00","6"" Casing",""
"SB-19","","91.50","6.00","6"" Casing",""
"SB-42","","50.00","6.00","6"" Casing",""
"SB-46","","51.30","6.00","6"" Casing",""
"SB-40","","50.20","6.00","6"" Casing",""
"SB-29","","11.50","6.00","6"" Casing",""
"SB-20","","16.50","6.00","6"" Casing",""
