"Checked Date","Elevation Method","National-Regional Database Unique ID","Reference","Location ID","Cluster name","Location Type","Status","Easting","Northing","National Grid Referencing System","Elevation","Latitude Decimal","Longitude Decimal","Remarks","Final Depth","Well Cap","Date Start","Location Purpose","Termination Reason","Date End","Grid Letter Reference","Local X Grid","Local Y Grid","Local Level","Local Datum","Local Grid System","Easting Traverse End","Northing Traverse End","Ground Level End","Local X End","Local Y End","Local Level End","Latitude","Longitude","Latitude End","Longitude End","Projection Format","Locationing Method","Sub Location","Phase","Alignment ID","Offset","Station","Transformation","Checked by","Approved by","Original Id","Water Remark","National Datum Referencing System","Original Location ID","Original Job ID","Original Company","Logging Standard"
"","","","","SB-1","","BH","FINAL","6371998.56","2126710.11","","1450.00","39.000029","-122.667422","Automatic ","45.40","","2025-10-27","","77 %","2025-10-27","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-33","","BH","FINAL","6371707.24","2128804.67","","1397.00","39.005774","-122.668501","Automatic","65.00","","2025-12-01","","77 %","2025-12-02","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-9","","BH","FINAL","6372915.84","2127398.29","","1366.50","39.001937","-122.664212","Automatic","80.00","","2025-10-16","","77 %","2025-10-16","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-11","","BH","FINAL","6373745.84","2127463.25","","1427.50","39.002132","-122.661293","Automatic","81.50","","2025-10-09","","77 %","2025-10-09","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-34","","BH","FINAL","6371035.28","2128343.73","","1342.50","39.004495","-122.670854","Automatic","50.00","","2025-11-06","","77 %","2025-11-06","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-5","","BH","FINAL","6373064.18","2126697.21","","1457.00","39.000015","-122.663672","Automatic","60.40","","2025-10-06","","77 %","2025-10-07","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-28","","BH","FINAL","6373972.87","2129486.93","","1356.00","39.007693","-122.660546","Automatic","11.50","","2025-12-18","","77 %","2025-12-18","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-26","","BH","FINAL","6372321.84","2129257.78","","1368.50","39.007031","-122.666350","Automatic","71.50","","2025-12-10","","77 %","2025-12-10","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-41","","BH","FINAL","6371796.42","2127704.05","","1344.00","39.002754","-122.668159","Automatic","40.00","","2025-11-11","","77 %","2025-11-11","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-13","","BH","FINAL","6373696.70","2127778.65","","1392.00","39.002997","-122.661474","Automatic","30.90","","2025-10-20","","77 %","2025-10-20","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-3","","BH","FINAL","6372228.15","2126898.90","","1427.00","39.000552","-122.666619","Automatic","60.10","","2025-10-24","","77 %","2025-10-27","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-18","","BH","FINAL","6373717.67","2128984.33","","1431.00","39.006308","-122.661431","Automatic","110.00","","2025-12-15","","77 %","2025-12-16","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-19","","BH","FINAL","6373694.24","2129262.97","","1442.00","39.007073","-122.661521","Automatic","90.30","","2025-12-16","","77 %","2025-12-17","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-29","","BH","FINAL","6373090.05","2129515.58","","1350.50","39.007754","-122.663653","Automatic","11.50","","2025-12-18","","77 %","2025-12-18","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-24","","BH","FINAL","6372379.23","2128395.76","","1389.50","39.004665","-122.666126","Automatic","60.10","","2025-12-04","","77 %","2025-12-04","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-44","","BH","FINAL","6371411.25","2127380.19","","1376.50","39.001857","-122.669506","Automatic","51.50","","2025-10-30","","77 %","2025-10-30","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-31","","BH","FINAL","6371968.89","2129053.97","","1379.00","39.006464","-122.667587","Automatic ","67.00","","2025-11-24","","77 %","2025-11-25","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-14","","BH","FINAL","6373885.85","2127879.98","","1404.00","39.003279","-122.660811","Automatic","26.50","","2025-10-08","","77 %","2025-10-08","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-38","","BH","FINAL","6371634.45","2127860.03","","1347.50","39.003179","-122.668733","Automatic","60.30","","2025-11-03","","77 %","2025-11-04","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-8","","BH","FINAL","6372659.05","2127257.76","","1363.50","39.001546","-122.665112","Automatic","40.80","","2025-10-15","","77 %","2025-10-15","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-7","","BH","FINAL","6373038.32","2127125.33","","1405.00","39.001190","-122.663774","Automatic","61.50","","2025-10-10","","77 %","2025-10-10","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-25","","BH","FINAL","6372155.08","2128713.53","","1393.00","39.005533","-122.666923","Automatic","50.00","","2025-12-03","","77 %","2025-12-03","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-23","","BH","FINAL","6372990.22","2128787.54","","1400.00","39.005753","-122.663986","Automatic","50.60","","2025-12-11","","77 %","2025-12-11","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-32","","BH","FINAL","6371201.41","2127982.31","","1375.00","39.003506","-122.670260","Automatic","85.10","","2025-11-04","","77 %","2025-11-05","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-45","","BH","FINAL","6371595.04","2127679.67","","1352.00","39.002683","-122.668867","Automatic","50.00","","2025-11-12","","77 %","2025-11-13","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-2","","BH","FINAL","6372167.75","2126530.05","","1482.00","38.999538","-122.666822","Automatic","42.00","","2025-10-28","","77 %","2025-10-28","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-17","","BH","FINAL","6373832.25","2128539.03","","1403.00","39.005088","-122.661017","Automatic","90.50","","2025-12-17","","77 %","2025-12-18","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-6A","","BH","FINAL","6373888.31","2127397.03","","1399.00","39.001953","-122.660790","Automatic","80.10","","2025-10-07","","77 %","2025-10-08","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-15","","BH","FINAL","6374042.20","2128239.04","","1408.00","39.004268","-122.660270","Automatic","30.40","","2025-10-21","","77 %","2025-10-21","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-42","","BH","FINAL","6371884.10","2127724.16","","1340.00","39.002811","-122.667851","Automatic","50.00","","2025-11-10","","77 %","2025-11-10","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-21","","BH","FINAL","6373170.79","2129135.38","","1405.00","39.006712","-122.663360","Automatic","45.25","","2025-12-12","","77 %","2025-12-12","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-22","","BH","FINAL","6372743.77","2129088.35","","1380.00","39.006574","-122.664861","Automatic","25.00","","2025-12-05","","77 %","2025-12-05","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-46","","BH","FINAL","6371656.21","2127650.45","","1351.00","39.002604","-122.668651","Automatic","51.30","","2025-11-13","","77 %","2025-11-14","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
"","","","","SB-39","","BH","FINAL","6371633.02","2127665.92","","1351.00","39.002646","-122.668733","Automatic","51.10","","2025-11-18","","77 %","2025-11-19","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-20","","BH","FINAL","6374230.69","2129276.01","","1372.00","39.007119","-122.659633","Automatic","16.50","","2025-12-18","","77 %","2025-12-18","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-35","","BH","FINAL","6371377.28","2127244.60","","1347.00","39.001484","-122.669622","Automatic","36.50","","2025-11-07","","77 %","2025-10-07","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-10","","BH","FINAL","6373370.73","2127308.65","","1418.50","39.001700","-122.662609","Automatic ","126.40","","2025-10-13","","77 %","2025-10-15","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-37","","BH","FINAL","6371480.09","2127736.60","","1355.00","39.002837","-122.669273","Automatic","60.00","","2025-11-19","","77 %","2025-11-20","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-36","","BH","FINAL","6371298.43","2127689.50","","1357.00","39.002704","-122.669911","Automatic","80.00","","2025-10-31","","77 %","2025-11-03","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-16","","BH","FINAL","6374420.20","2128363.76","","1415.00","39.004618","-122.658943","Automatic","26.50","","2025-10-21","","77 %","2025-10-21","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso ","","","","","","","",""
"","","","","SB-4","","BH","FINAL","6372335.12","2126837.30","","1427.00","39.000385","-122.666241","Automatic","75.00","","2025-10-22","","77 %","2025-10-23","","","","","","","","","","","","","","","","","","","","","","","","","A. Caruso","","","","","","","",""
