"Group","Field","Units"
"Casing Diameter by Depth","Depth Base","ft"
"Casing Diameter by Depth","Depth Top","ft"
"Casing Diameter by Depth","Diameter","in"
"Coring Information","Depth Base","ft"
"Coring Information","Depth Midpoint","ft"
"Coring Information","Depth Top","ft"
"Coring Information","Diameter","in"
"Coring Information","Length","ft"
"Coring Information","RQD","%"
"Coring Information","RQD Length","ft"
"Coring Information","SCR","%"
"Coring Information","SCR Length","ft"
"Coring Information","TCR","%"
"Coring Information","TCR Length - Recovery","ft"
"Depth Related Exploratory Hole Information","Barrel Length","ft"
"Depth Related Exploratory Hole Information","Depth Base","ft"
"Depth Related Exploratory Hole Information","Depth Top","ft"
"Depth Related Exploratory Hole Information","Pit Length","ft"
"Depth Related Exploratory Hole Information","Pit Width","ft"
"Depth Related Remarks","Depth Base","ft"
"Depth Related Remarks","Depth Top","ft"
"Field Geological Descriptions","Depth Base","ft"
"Field Geological Descriptions","Depth Top","ft"
"Hole Diameter by Depth","Depth Base","ft"
"Hole Diameter by Depth","Diameter","in"
"In Situ Hand Penetrometer Tests","Depth","ft"
"In Situ Hand Penetrometer Tests","Hand Penetrometer value","tsf"
"Location Details","Easting","ft"
"Location Details","Easting Traverse End","ft"
"Location Details","Final Depth","ft"
"Location Details","Elevation","ft"
"Location Details","Ground Level End","ft"
"Location Details","Local Level","ft"
"Location Details","Local Level End","ft"
"Location Details","Local X End","ft"
"Location Details","Local X Grid","ft"
"Location Details","Local Y End","ft"
"Location Details","Local Y Grid","ft"
"Location Details","Northing","ft"
"Location Details","Northing Traverse End","ft"
"Sample Information","Barometric Pressure","psi"
"Sample Information","Depth Base","ft"
"Sample Information","Depth Midpoint","ft"
"Sample Information","Depth Top","ft"
"Sample Information","Diameter","in"
"Sample Information","Gas Flow Rate","gal/min"
"Sample Information","Gas Pressure","psi"
"Sample Information","Length","ft"
"Sample Information","Recovery","%"
"Sample Information","Sample Recovery","ft"
"Sample Information","Temperature","degF"
"Sample Information","Water Depth Numeric","ft"
"Standard Penetration Test Results","Depth Base","ft"
"Standard Penetration Test Results","Depth Casing","ft"
"Standard Penetration Test Results","Depth Midpoint","ft"
"Standard Penetration Test Results","Depth Top","ft"
"Standard Penetration Test Results","Depth Water value","ft"
"Standard Penetration Test Results","Energy Ratio","%"
"Standard Penetration Test Results","Hammer Weight Penetration","in"
"Standard Penetration Test Results","Penetration Main 1","in"
"Standard Penetration Test Results","Penetration Main 2","in"
"Standard Penetration Test Results","Penetration Main 3","in"
"Standard Penetration Test Results","Penetration Main 4","in"
"Standard Penetration Test Results","Penetration Seating 1","in"
"Standard Penetration Test Results","Penetration Seating 2","in"
"Standard Penetration Test Results","Penetration Total","in"
"Standard Penetration Test Results","Recovery","%"
"Standard Penetration Test Results","Recovery Length","in"
"Standard Penetration Test Results","Rod Stick Up","ft"
"Standard Penetration Test Results","Rod Weight Penetration","in"
"Standard Penetration Test Results","Self Weight Penetration","in"
"Stratum Detail Descriptions","Depth Base","ft"
"Stratum Detail Descriptions","Depth Top","ft"
"Water Levels and Boring-Drilling Progress by Time","Depth","ft"
"Water Levels and Boring-Drilling Progress by Time","Depth Casing","ft"
"Water Levels and Boring-Drilling Progress by Time","Depth Water value","ft"
"Water Levels and Boring-Drilling Progress by Time","Height Measurement  Taken Above Ground Surface","ft"
"Water Levels and Boring-Drilling Progress by Time","Hours After","hr"
"Water Levels and Boring-Drilling Progress by Time","Water Depth Below Measurement Point","ft"
